OPEID,CITY,INSTNM,INSTURL,STABBR
190400,Lindsborg,Bethany College,www.bethanylb.edu,KS
393200,Laramie,University of Wyoming,www.uwyo.edu,WY
366300,Plainview,Wayland Baptist University,www.wbu.edu,TX
1025600,Atchison,Benedictine College,www.benedictine.edu,KS
335100,Langhorne,Cairn University-Langhorne,www.cairn.edu,PA
367700,Logan,Utah State University,www.usu.edu,UT
370300,Bluefield,Bluefield College,www.bluefield.edu,VA
382200,Shepherdstown,Shepherd University,www.shepherd.edu/,WV
186700,Des Moines,Grand View University,www.grandview.edu,IA
815500,Olympia,The Evergreen State College,www.evergreen.edu,WA
162100,Lewiston,Lewis-Clark State College,www.lcsc.edu,ID
109700,Searcy,Harding University,www.harding.edu,AR
368900,Lyndonville,Lyndon State College,WWW.LYNDONSTATE.EDU,VT
193300,McPherson,McPherson College,www.mcpherson.edu,KS
332100,Edinboro,Edinboro University of Pennsylvania,www.edinboro.edu/,PA
279000,Nyack,Nyack College,www.nyack.edu,NY
162500,Rexburg,Brigham Young University-Idaho,www.byui.edu,ID
2270400,Birmingham,Southeastern Bible College,www.sebc.edu,AL
3115500,Orlando,Adventist University of Health Sciences,www.adu.edu,FL
177200,Deerfield,Trinity International University-Illinois,www.tiu.edu,IL
183500,Saint Mary of the Woods,Saint Mary-of-the-Woods College,www.smwc.edu,IN
198000,Pikeville,University of Pikeville,www.upike.edu,KY
245000,Kansas City,Calvary Bible College and Theological Seminary,www.calvary.edu,MO
2090700,Overland Park,Cleveland University-Kansas City,www.cleveland.edu,KS
253300,Havre,Montana State University-Northern,www.msun.edu,MT
3516300,Southlake,The King's University,tku.edu,TX
