opeid,pftfac,locale,ugds_white,inexpfte,grad_debt_mdn,pftfac_rank,ugds_white_rank,inexpfte_rank,grad_debt_mdn_rank
143400,0.5841,11,0.5765,12620,24589,4901,-1557,-2430,2198
294800,1,21,0.5734,4666,27498,-12899,-1699,6632,8623
295600,0.6154,12,0.6684,3805,20427,3562,2670,7613,-6994
146600,0.4308,21,0.2004,9969,28250,11462,-18855,590,10284
212400,0.6282,13,0.6048,13120,27000,3014,-255,-3000,7523
356000,1,11,0.6101,8737,22638,-12899,-11,1994,-2111
1039500,0.4862,11,0.5421,13897,22750,9091,-3139,-3885,-1864
348500,0.3758,31,0.6504,5404,21875,13816,1842,5791,-3796
121600,0.3607,21,0.2389,6518,24894,14463,-17084,4522,2872
381300,0.6147,33,0.7054,6565,26000,3592,4372,4469,5315
303500,1,11,0.6067,5335,28713,-12899,-168,5870,11307
285800,0.3061,21,0.6044,9828,15958.5,16799,-274,751,-16864
965100,0.6395,12,0.0186,5524,14929,2530,-27216,5655,-19138
695100,0.9678,22,0.5667,6624,23000,-11520,-2007,4401,-1311
294900,1,31,0.4862,2935,27250,-12899,-5710,8604,8076
367000,0.747,12,0.832,15124,11000,-2071,10194,-5283,-27816
116400,1,12,0.6049,14025,21000,-12899,-251,-4031,-5729
373800,1,32,0.7838,6590,24185,-12899,7978,4440,1306
295500,0.6038,42,0.551,6953,24000,4058,-2730,4027,897
371300,0.9217,42,0.8163,13194,26848.5,-9547,9472,-3084,7189
154400,0.894,13,0.0485,6772,32555,-8362,-25841,4233,19793
350900,0.6618,11,0.5058,9720,25250,1576,-4808,874,3658
385000,0.381,32,0.625,7713,26212,13594,674,3161,5783
125800,0.8818,41,0.2786,10227,28500,-7840,-15258,296,10837
194300,1,31,0.6178,7833,24000,-12899,343,3024,897
170800,0.9773,32,0.8047,5688,22750,-11927,8939,5468,-1864
196800,0.8601,32,0.2532,7500,30982,-6911,-16426,3403,16319
196500,1,32,0.6344,5343,26500,-12899,1106,5861,6419
2169100,0.1944,22,0.7024,3164,21000,21580,4234,8344,-5729
370400,0.7917,23,0.7568,5651,27000,-3984,6736,5510,7523
356500,0.831,32,0.5113,7619,20250,-5666,-4555,3268,-7385
284900,0.5909,32,0.6926,11263,22000,4610,3783,-884,-3520
103300,1,12,0.0059,7701,27250,-12899,-27800,3174,8076
789300,0.4638,23,0.7387,5649,23677.5,10050,5903,5512,185
210300,0.7758,21,0.5251,13487,19500,-3303,-3921,-3418,-9042
272200,1,11,0.6039,14019,25000,-12899,-297,-4024,3106
284800,0.5752,32,0.7777,10636,22500,5282,7697,-170,-2416
157500,0.6182,32,0.5199,4104,16807.5,3442,-4160,7273,-14989
144800,1,11,0.0144,22663,27000,-12899,-27409,-13872,7523
228400,0.8875,11,0.1657,7473,35500,-8084,-20451,3434,26298
353600,0.3985,32,0.8648,4227,18625,12845,11703,7132,-10975
364700,0.7882,11,0.5623,20116,21967,-3834,-2210,-10970,-3593
362000,0.7012,21,0.6458,12803,26278,-110,1631,-2638,5929
160100,0.8379,31,0.5208,6635,24250,-5961,-4119,4389,1449
663900,0.85,41,0.9508,7700,15250,-6479,15658,3176,-18429
150900,0.3767,21,0.3234,11457,25250,13778,-13197,-1105,3658
363600,0.9844,11,0.74,14768,22000,-12231,5963,-4877,-3520
148000,0.9971,12,0.0329,9739,27750,-12774,-26558,852,9180
284100,0.551,31,0.7232,11647,21500,6318,5190,-1321,-4624
264200,0.447,21,0.6563,11128,23250,10769,2113,-730,-759
292600,1,32,0.1446,9039,26000,-12899,-21421,1650,5315
190500,0.4933,32,0.706,7887,26050,8787,4399,2962,5425
156300,0.5663,32,0.7056,4819,27000,5663,4381,6458,7523
214600,0.432,11,0.6657,9633,24000,11411,2546,973,897
105000,0.9711,32,0.0035,14344,33500,-11662,-27911,-4394,21880
195800,0.4286,13,0.669,6483,30500,11557,2698,4562,15254
338800,0.6186,21,0.7566,15732,26352,3425,6727,-5976,6092
132600,0.5852,12,0.4841,12668,20500,4854,-5806,-2485,-6833
358400,0.4791,13,0.6571,8285,28000,9395,2150,2509,9732
206500,0.4706,11,0.5681,10387,27000,9759,-1943,114,7523
359800,0.3377,11,0.133,8470,25000,15447,-21955,2298,3106
395400,0.9739,21,0.5519,5687,18350,-11782,-2688,5469,-11582
190800,0.2653,33,0.4294,3250,23375,18546,-8322,8246,-483
176800,0.4485,11,0.484,8417,24250,10705,-5811,2359,1449
361900,0.5435,31,0.241,10119,25000,6639,-16987,419,3106
348200,1,11,0.4466,6825,26500,-12899,-7531,4172,6419
167400,0.817,32,0.6974,13142,23250,-5066,4004,-3025,-759
186600,1,43,0.641,7762,24900,-12899,1410,3105,2885
284700,0.5606,33,0.7894,8942,22500,5907,8235,1760,-2416
141700,0.9636,21,0.6168,22554,21500,-11341,297,-13748,-4624
160400,0.6378,43,0.7636,8794,26000,2603,7049,1929,5315
332900,0.7536,13,0.7053,17872,27000,-2353,4367,-8414,7523
292800,0.9845,12,0.1746,8035,21278,-12235,-20041,2794,-5115
244700,0.5594,13,0.6008,6703,21376.5,5958,-439,4311,-4897
353700,0.8667,12,0.6739,8741,25985,-7194,2923,1989,5282
154000,1,31,0.3916,2949,21562,-12899,-10061,8588,-4488
166400,0.9018,21,0.6894,5821,25000,-8696,3636,5316,3106
169100,0.5384,11,0.3326,12262,27000,6857,-12774,-2022,7523
173700,0.7776,23,0.5811,12837,23347,-3380,-1345,-2677,-545
342700,1,32,0.5185,6067,30112,-12899,-4224,5036,14397
105100,0.7045,13,0.7825,10239,23750,-252,7918,283,345
285100,0.7365,12,0.8359,15092,20450,-1621,10374,-5246,-6944
238200,0.7167,32,0.7662,16837,27000,-774,7168,-7235,7523
342500,0.8454,21,0.8348,11952,21830.5,-6282,10323,-1669,-3895
297200,0.8801,11,0.7467,13745,20500,-7767,6271,-3712,-6833
3941300,0.9851,42,0.6663,9458,22500,-12261,2573,1173,-2416
104100,0.6822,12,0.6733,7460,27000,703,2895,3449,7523
114400,0.4892,21,0.2023,7308,18500,8963,-18767,3622,-11251
153800,1,11,0.5946,5784,26000,-12899,-724,5358,5315
154700,0.1782,32,0.3989,5833,30638,22273,-9725,5303,15559
364200,0.7176,11,0.019,9693,31000,-812,-27198,905,16358
244900,0.3571,11,0.6101,6966,26625,14617,-11,4012,6695
343600,1,31,0.4245,5196,28750,-12899,-8548,6028,11389
256300,0.9306,11,0.5957,10177,27000,-9928,-674,353,7523
220800,0.3197,11,0.6752,13365,26250,16217,2983,-3279,5867
324300,0.4022,12,0.671,9713,29183,12686,2790,882,12345
2106400,0.2558,13,0.7396,8418,27250,18952,5945,2357,8076
361300,0.6689,21,0.6579,16035,22500,1272,2187,-6321,-2416
363100,0.5425,33,0.7081,6957,20500,6682,4496,4022,-6833
100200,0.8967,12,0.0333,7437,33888,-8477,-26540,3475,22737
319100,0.1507,11,0.6533,2545,25000,23450,1976,9049,3106
285300,0.6224,11,0.7241,11637,26500,3262,5232,-1310,6419
1164900,0.5248,11,0.4672,15175,22500,7439,-6584,-5341,-2416
963500,0.9811,21,0.0952,6843,17250,-12090,-23693,4152,-14012
193900,1,11,0.6641,4415,20216.5,-12899,2472,6918,-7459
115300,0.4445,11,0.2446,6730,15000,10876,-16822,4281,-18981
214500,0.2883,21,0.5323,6285,24362,17561,-3590,4788,1697
248000,1,13,0.6027,4135,27000,-12899,-352,7237,7523
147800,0.6173,11,0.0367,4413,32550.5,3480,-26384,6920,19783
309000,0.657,11,0.7194,16075,21959.5,1781,5016,-6366,-3610
279800,0.146,11,0.4137,14711,26691,23651,-9044,-4812,6841
337900,0.7472,11,0.7571,16522,26813.5,-2079,6750,-6876,7112
1026600,0.339,21,0.5664,4695,19000,15391,-2021,6599,-10146
153700,0.9514,11,0.5279,8841,19500,-10819,-3792,1876,-9042
284400,0.548,32,0.7839,10948,24750,6446,7982,-525,2554
288200,0.6722,12,0.5534,15192,27000,1131,-2619,-5360,7523
100500,0.6539,12,0.0158,7618,33118.5,1914,-27345,3269,21038
295100,0.1978,13,0.2994,5527,22555,21434,-14301,5651,-2294
1055400,0.6389,32,0.028,6755,32000,2556,-26784,4252,18567
934400,0.9169,21,0.6347,9581,22500,-9342,1120,1032,-2416
301800,0.7012,31,0.7748,8710,26000,-110,7564,2025,5315
101200,0.6419,12,0.7983,10658,27000,2428,8644,-195,7523
157700,0.5656,21,0.6082,6167,22750,5693,-99,4922,-1864
332800,0.7163,21,0.7957,7851,23875,-757,8525,3003,621
343100,0.9419,13,0.6277,6560,27000,-10412,798,4474,7523
251200,0.9804,12,0.6852,9552,27000,-12060,3443,1065,7523
202500,0.9412,12,0.0244,6523,31271.5,-10382,-26949,4517,16958
344500,0.9714,32,0.8062,10008,25875,-11675,9008,546,5039
3440300,0.9877,11,0.5158,9268,30000,-12372,-4348,1389,14150
166600,0.6045,21,0.5533,8701,25000,4028,-2624,2035,3106
292700,0.7301,22,0.8222,15016,23951,-1347,9744,-5160,789
159400,0.7377,11,5E-04,10845,26996,-1673,-28049,-408,7515
179900,0.7128,13,0.6769,11031,20671,-607,3061,-620,-6456
159900,0.7966,13,0.5208,6493,25247,-4193,-4119,4551,3652
208000,0.2585,11,0.5218,13752,27000,18837,-4073,-3720,7523
285400,0.7325,33,0.7957,10105,14750,-1450,8525,435,-19533
354300,0.9583,13,0.555,12064,26000,-11114,-2546,-1797,5315
201100,0.5878,41,0.717,7243,16021.5,4743,4905,3696,-16725
173500,1,11,0.4984,6923,26500,-12899,-5149,4061,6419
385400,0.1667,41,0.655,5134,26915,22765,2054,6099,7336
174800,0.419,12,0.6706,6256,25700,11967,2771,4821,4652
132900,0.5428,11,0.2985,18824,23370,6669,-14343,-9498,-494
178500,1,13,0.7996,8594,27000,-12899,8704,2157,7523
182400,0.3462,32,0.7273,6119,16973,15083,5379,4977,-14623
206200,0.5208,21,0.0239,6933,22927,7610,-26972,4049,-1473
379800,0.7179,11,0.4332,24561,15797,-825,-8147,-16035,-17221
156100,0.606,12,0.5206,7509,25039,3964,-4128,3393,3192
157800,1,32,0.6922,12322,27000,-12899,3765,-2090,7523
185400,0.6,12,0.7652,12068,27000,4221,7122,-1801,7523
