opeid,adm_rate,sat_avg,adm_rate_rank,sat_avg_rank
235400,0.6959,1101,2342,-2932
223600,0.7198,1101,3589,-2932
302300,0.7274,1100,3986,-2856
185900,0.7299,1100,4116,-2856
189600,0.7883,1100,7164,-2856
1167800,0.561,1099,-4698,-2780
157200,0.631,1099,-1045,-2780
371300,0.4727,1098,-9306,-2704
283500,0.5584,1098,-4834,-2704
244000,0.8122,1098,8411,-2704
351100,0.6241,1097,-1405,-2628
275800,0.6654,1097,750,-2628
359400,0.6538,1096,145,-2553
293300,0.8019,1096,7874,-2553
679100,0.4082,1095,-12672,-2477
108101,0.778,1095,6627,-2477
153800,0.5188,1094,-6900,-2401
311000,0.7531,1094,5327,-2401
210900,0.7613,1094,5755,-2401
214700,0.693,1093,2191,-2325
266600,0.7242,1092,3819,-2249
299700,0.8274,1092,9205,-2249
353700,0.5047,1091,-7636,-2174
282100,0.6791,1091,1465,-2174
269000,0.3982,1090,-13194,-2098
344500,0.5372,1090,-5940,-2098
223900,0.6509,1090,-6,-2098
321200,0.8045,1090,8009,-2098
383800,0.8084,1090,8213,-2098
640400,0.8261,1090,9137,-2098
250300,0.8503,1090,10400,-2098
300500,0.86,1090,10906,-2098
392100,0.944,1090,15290,-2098
963500,0.5278,1089,-6430,-2022
167600,0.6771,1089,1361,-2022
391100,0.6914,1089,2107,-2022
384200,0.7541,1089,5379,-2022
226800,0.8043,1089,7999,-2022
450900,0.924,1089,14246,-2022
236500,0.6441,1088,-361,-1946
109000,0.7239,1088,3803,-1946
352900,0.7728,1088,6355,-1946
187300,0.9513,1088,15670,-1946
373600,0.6932,1087,2201,-1871
284700,0.4988,1086,-7944,-1795
247300,0.5997,1086,-2678,-1795
373300,0.6034,1086,-2485,-1795
216000,0.7149,1086,3334,-1795
373400,0.8101,1086,8302,-1795
4193700,0.875,1086,11689,-1795
268700,0.3533,1085,-15537,-1719
3941300,0.517,1085,-6994,-1719
387500,0.6343,1085,-873,-1719
648700,0.75,1085,5165,-1719
268100,0.8023,1085,7895,-1719
348100,0.624,1083,-1410,-1567
108103,0.7886,1083,7180,-1567
319800,0.9377,1083,14961,-1567
201500,0.4357,1082,-11237,-1492
934400,0.5332,1082,-6149,-1492
371500,0.5647,1082,-4505,-1492
209900,0.5921,1082,-3075,-1492
223800,0.3688,1081,-14728,-1416
933300,0.6158,1081,-1838,-1416
2141500,0.6655,1081,756,-1416
319400,0.7776,1081,6606,-1416
256800,0.8388,1081,9799,-1416
182200,0.9505,1081,15629,-1416
244700,0.5042,1080,-7662,-1340
170000,0.7312,1080,4184,-1340
177100,0.9022,1080,13108,-1340
332800,0.5348,1079,-6065,-1264
297500,0.6409,1079,-528,-1264
2136600,0.6432,1079,-408,-1264
254800,0.6965,1079,2373,-1264
934500,0.6475,1078,-184,-1188
183900,0.7599,1078,5682,-1188
205300,0.8257,1078,9116,-1188
218000,0.7294,1077,4090,-1113
341400,0.7681,1077,6110,-1113
222600,0.8015,1077,7853,-1113
193900,0.5281,1076,-6415,-1037
157700,0.5345,1076,-6081,-1037
350000,0.8905,1076,12498,-1037
161700,0.929,1076,14507,-1037
356000,0.4621,1075,-9859,-961
379900,0.5779,1075,-3816,-961
143600,0.705,1075,2817,-961
253600,0.9272,1075,14413,-961
114400,0.5187,1074,-6905,-885
335400,0.6394,1074,-606,-885
